,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away
0,2023-09-02,16:15,4,5,19,3,2.0,1.0,2.8,0.4,76.0,4-3-1-2,Mario Melero,26.0,12.0,17.7,0.0,0,0,2024,0,24.0,4-1-3-2,6.0,2.0,19.9,0.0,0,0
1,2023-09-17,21:00,5,6,19,4,2.0,1.0,2.0,1.6,52.0,4-1-2-1-2◆,César Soto,17.0,8.0,15.9,1.0,0,0,2024,0,48.0,4-3-3,15.0,5.0,17.6,0.0,0,0
2,2023-09-27,19:00,7,2,19,6,2.0,0.0,1.7,0.7,48.0,4-3-1-2,José Luis Munuera,21.0,9.0,16.4,0.0,0,0,2024,0,52.0,4-5-1,16.0,2.0,21.5,1.0,0,0
3,2023-10-07,16:15,9,5,19,8,4.0,0.0,3.2,0.5,67.0,4-3-1-2,Guillermo Cuadra,18.0,8.0,16.0,0.0,0,1,2024,0,33.0,4-3-3,7.0,1.0,24.4,0.0,0,0
4,2023-11-05,21:00,12,6,19,11,0.0,0.0,2.2,0.1,63.0,4-3-1-2,Juan Martínez,22.0,5.0,18.4,1.0,0,0,2024,2,37.0,4-1-4-1,4.0,0.0,23.3,0.0,0,0
5,2023-11-11,21:00,13,5,19,12,5.0,1.0,1.7,1.7,57.0,4-4-2,José Sánchez,16.0,7.0,18.3,3.0,0,0,2024,0,43.0,4-2-3-1,10.0,4.0,16.3,0.0,0,0
6,2023-12-02,18:30,15,5,19,14,2.0,0.0,1.8,0.1,71.0,4-4-2,Pablo González,11.0,4.0,17.2,0.0,0,0,2024,0,29.0,4-4-2,2.0,0.0,40.5,0.0,0,0
7,2023-12-17,21:00,17,6,19,16,4.0,1.0,2.3,0.8,60.0,4-4-2,Jorge Figueroa,22.0,9.0,16.9,1.0,0,0,2024,0,40.0,4-4-2,3.0,1.0,18.0,0.0,0,0
8,2024-01-03,19:15,19,2,19,18,1.0,0.0,1.7,0.6,67.0,4-2-2-2,Alejandro Muñíz,17.0,5.0,18.8,3.0,0,0,2024,0,33.0,5-4-1,7.0,0.0,14.0,0.0,0,0
9,2024-01-21,16:15,21,6,19,1,3.0,2.0,2.2,0.9,73.0,4-3-1-2,Francisco Hernández,17.0,5.0,16.0,0.0,1,1,2024,0,27.0,5-4-1,10.0,2.0,22.5,0.0,0,0
